Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 187, 169, 151, 129, 107, 85
AY, 12/22/33/42/52, 194, 175, 156, 133, 111, 89
AZ, 13/23/35/43/53, 196, 174, 152, 131, 110, 89
BT1, 42/52/84, 197, 179, 161, 137, 113, 90
BT2, 42/52/87, 197, 179, 161, 137, 113, 90
BU1, 43/53/85, 193, 175, 157, 134, 111, 89
BU2, 43/53/88, 192, 173, 154, 132, 110, 88
BX1, 41/51/84, 197, 179, 161, 137, 113, 90
BY1, 42/52/85, 190, 173, 156, 132, 109, 86
BY2, 42/52/88, 189, 171, 153, 130, 107, 85
BZ1, 43/53/86, 187, 169, 151, 129, 108, 87
CX1, 41/51/94, 190, 173, 156, 134, 112, 90
CY1, 42/52/95, 190, 170, 150, 128, 106, 85
CY2, 42/52/98, 189, 169, 149, 127, 106, 85
CZ1, 43/53/96, 192, 171, 150, 129, 108, 87
CZ2, 43/53/99, 195, 173, 151, 130, 109, 88
EV, 42/52/75, 190, 172, 154, 131, 108, 85
HY, 12/22/34/42/52, 192, 173, 154, 132, 111, 90
HZ, 13/23/36/43/53, 196, 174, 152, 131, 110, 89
S1, 11/21/31, –, 88, 79, 69, 59, 50
S3, 12/22/33, –, 94, 84, 74, 64, 54
S4, 12/22/34, –, 92, 82, 73, 64, 55
S5, 13/23/35, –, 91, 79, 69, 60, 51
S6, 13/23/36, –, 91, 79, 69, 60, 51
