Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 29, 26, 22, 19, 16
Component 12, 40, 29, 26, 23, 20, 17
Component 13, 40, 32, 28, 24, 21, 18
Component 21, 60, 39, 34, 29, 23, 18
Component 22, 60, 43, 37, 31, 25, 20
Component 23, 60, 41, 37, 32, 27, 22
Component 31, 40, 29, 27, 24, 22, 20
Component 33, 40, 31, 28, 25, 22, 19
Component 34, 40, 31, 28, 25, 22, 19
Component 35, 40, 32, 28, 25, 23, 21
Component 36, 40, 32, 28, 25, 22, 20
Component 41, 100, 65, 56, 47, 39, 30
Component 42, 100, 64, 56, 47, 39, 31
Component 43, 100, 65, 56, 47, 39, 30
Component 51, 30, 23, 20, 17, 14, 12
Component 52, 30, 20, 18, 15, 12, 9
Component 53, 30, 23, 20, 17, 14, 12
