Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 31, 28, 25, 22, 19
Component 12, 40, 30, 27, 23, 20, 17
Component 13, 40, 29, 27, 24, 22, 20
Component 21, 60, 45, 40, 33, 26, 19
Component 22, 60, 44, 40, 34, 27, 21
Component 23, 60, 43, 39, 34, 29, 24
Component 31, 40, 30, 27, 23, 19, 15
Component 32, 40, 32, 29, 25, 21, 17
Component 33, 40, 30, 27, 23, 20, 17
Component 34, 40, 30, 27, 24, 21, 18
Component 35, 40, 30, 27, 24, 22, 20
Component 41, 100, 66, 58, 50, 42, 33
Component 42, 100, 55, 49, 41, 33, 24
Component 43, 100, 66, 58, 50, 42, 33
Component 51, 30, 22, 20, 17, 14, 12
Component 52, 30, 20, 18, 15, 12, 10
Component 53, 30, 22, 20, 17, 14, 12
