Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 190, 171, 152, 132, 113, 94
AY, 12/22/33/42/52, 190, 170, 150, 128, 107, 86
AZ, 13/23/35/43/53, 198, 179, 160, 138, 117, 96
BT1, 42/52/84, 198, 179, 160, 136, 113, 90
BT2, 42/52/87, 196, 178, 160, 137, 114, 91
BU1, 43/53/85, 196, 177, 158, 136, 114, 93
BU2, 43/53/88, 193, 174, 155, 133, 112, 91
BY1, 42/52/85, 190, 170, 150, 127, 105, 83
BY2, 42/52/88, 187, 167, 147, 125, 103, 81
BZ1, 43/53/86, 196, 178, 160, 138, 117, 96
CY1, 42/52/95, 192, 172, 152, 130, 108, 86
CY2, 42/52/98, 192, 172, 152, 130, 108, 86
CZ1, 43/53/96, 200, 181, 162, 141, 121, 101
CZ2, 43/53/99, 200, 181, 162, 141, 120, 100
EV, 42/52/75, 191, 174, 157, 135, 113, 92
HY, 12/22/34/42/52, 191, 170, 149, 127, 106, 85
HZ, 13/23/36/43/53, 200, 181, 162, 141, 120, 99
S1, 11/21/31, –, 85, 75, 66, 57, 49
S3, 12/22/33, –, 91, 81, 71, 61, 51
S4, 12/22/34, –, 91, 80, 70, 60, 50
S5, 13/23/35, –, 93, 83, 72, 61, 51
S6, 13/23/36, –, 95, 85, 74, 64, 54
