Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 190, 168, 146, 126, 106, 86
AY, 12/22/33/42/52, 198, 173, 148, 124, 100, 76
AZ, 13/23/35/43/53, 189, 164, 139, 120, 101, 82
BS1, 41/51/86, 199, 176, 153, 130, 108, 86
BT1, 42/52/84, 199, 174, 149, 123, 98, 73
BT2, 42/52/87, 200, 175, 150, 124, 98, 73
BTJ, 42/52, 102, 85, 68, 54, 40, 27
BU1, 43/53/85, 194, 172, 150, 129, 108, 87
BU2, 43/53/88, 192, 170, 148, 127, 106, 86
BUJ, 43/53, 98, 83, 68, 57, 47, 37
BY1, 42/52/85, 199, 175, 151, 127, 103, 79
BY2, 42/52/88, 197, 173, 149, 125, 101, 78
BYJ, 42/52, 102, 85, 68, 54, 40, 27
BZ1, 43/53/86, 199, 176, 153, 130, 108, 86
CY1, 42/52/95, 191, 167, 143, 120, 98, 76
CY2, 42/52/98, 189, 165, 141, 118, 96, 74
CZ1, 43/53/96, 191, 171, 151, 130, 110, 90
CZ2, 43/53/99, 193, 172, 151, 131, 111, 91
EV, 42/52/75, 198, 174, 150, 127, 104, 82
HY, 12/22/34/42/52, 195, 170, 145, 121, 97, 74
HZ, 13/23/36/43/53, 188, 164, 140, 121, 102, 83
S1, 11/21/31, –, 84, 73, 62, 51, 41
S3, 12/22/33, –, 86, 74, 62, 50, 39
S4, 12/22/34, –, 83, 71, 59, 48, 37
S5, 13/23/35, –, 80, 66, 56, 46, 37
S6, 13/23/36, –, 80, 67, 57, 47, 38
