Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 27, 24, 21, 18, 16
Component 12, 40, 29, 26, 23, 20, 18
Component 13, 40, 32, 28, 24, 21, 18
Component 21, 60, 40, 34, 29, 24, 19
Component 22, 60, 41, 35, 30, 25, 19
Component 23, 60, 40, 36, 30, 25, 19
Component 31, 40, 27, 24, 22, 20, 18
Component 33, 40, 31, 28, 24, 21, 18
Component 34, 40, 30, 27, 23, 20, 17
Component 35, 40, 31, 27, 24, 21, 19
Component 36, 40, 33, 29, 26, 24, 22
Component 41, 100, 64, 56, 48, 40, 32
Component 42, 100, 63, 54, 44, 35, 25
Component 43, 100, 64, 56, 48, 40, 32
Component 51, 30, 24, 22, 19, 16, 13
Component 52, 30, 18, 16, 14, 12, 10
Component 53, 30, 24, 22, 19, 16, 13
