Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AW1, 11/22/33/42/51, 196, 181, 166, 143, 121, 99
AX1, 11/21/31/41/51, 208, 187, 166, 142, 119, 96
AY1, 12/22/33/42/52, 198, 183, 168, 145, 122, 100
AZ1, 13/23/35/43/53, 208, 187, 166, 142, 119, 96
BW, 42/51/66, 181, 165, 149, 128, 108, 88
BX, 41/51/66, 193, 171, 149, 127, 106, 85
BY, 42/52/66, 183, 167, 151, 130, 109, 89
BZ, 43/53/66, 193, 171, 149, 127, 106, 85
CW, 42/51/67, 192, 175, 158, 138, 118, 98
CX, 41/51/67, 204, 181, 158, 137, 116, 95
CY, 42/52/67, 194, 177, 160, 139, 119, 99
CZ, 43/53/67, 204, 181, 158, 137, 116, 95
EW1, 11/22/34/42/51, 196, 181, 166, 143, 121, 99
EX1, 11/21/32/41/51, 208, 187, 166, 142, 119, 96
EY1, 12/22/34/42/52, 198, 183, 168, 145, 122, 100
S1, 11/21/31, –, 101, 93, 81, 69, 57
S2, 11/21/32, –, 101, 93, 81, 69, 57
S3, 12/22/33, –, 101, 93, 81, 69, 57
S4, 12/22/34, –, 101, 93, 81, 69, 57
S5, 13/23/35, –, 101, 93, 81, 69, 57
S7, 11/22/33, –, 101, 93, 81, 69, 57
S8, 11/22/34, –, 101, 93, 81, 69, 57
