Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AW, 260, 12, 22, 33, 41, 52, 185, 164, 143, 120, 98, 76
AX, 260, 11, 21, 31, 41, 51, 202, 180, 158, 133, 109, 85
AY, 260, 12, 22, 33, 42, 52, 176, 154, 132, 109, 86, 64
AZ, 260, 13, 23, 35, 43, 53, 190, 171, 152, 132, 112, 92
BW1, 260, 41, 52, 85, 195, 174, 153, 129, 106, 83
BW2, 260, 41, 52, 88, 193, 172, 151, 128, 105, 82
BX1, 260, 41, 51, 84, 195, 173, 151, 126, 101, 77
BX2, 260, 41, 51, 87, 196, 174, 152, 127, 102, 77
BXJ, 130, 41, 51, 98, 84, 70, 57, 44, 32
BY1, 260, 42, 52, 85, 186, 164, 142, 118, 94, 71
BY2, 260, 42, 52, 88, 184, 162, 140, 116, 93, 70
BYJ, 130, 42, 52, 89, 74, 59, 46, 33, 20
BZ1, 260, 43, 53, 86, 190, 170, 150, 128, 106, 85
CP1, 260, 43, 53, 94, 181, 162, 143, 123, 104, 85
CQ1, 260, 41, 51, 95, 194, 172, 150, 126, 103, 80
CQ2, 260, 41, 51, 98, 191, 169, 147, 124, 101, 78
CQN, 130, 41, 51, 98, 84, 70, 57, 44, 32
CR1, 260, 42, 52, 96, 181, 156, 131, 109, 87, 66
CR2, 260, 42, 52, 99, 180, 156, 132, 110, 88, 67
CRN, 130, 42, 52, 89, 74, 59, 46, 33, 20
CX1, 260, 41, 51, 94, 191, 170, 149, 126, 104, 82
CY1, 260, 42, 52, 95, 185, 162, 139, 115, 91, 68
CY2, 260, 42, 52, 98, 182, 159, 136, 112, 89, 66
CYN, 130, 42, 52, 89, 74, 59, 46, 33, 20
HW, 260, 12, 22, 34, 41, 52, 187, 166, 145, 122, 99, 77
HX, 260, 11, 21, 32, 41, 51, 200, 178, 156, 131, 106, 82
HY, 260, 12, 22, 34, 42, 52, 178, 156, 134, 111, 88, 65
P1, 75, 50, –, 54, 45, 36, 27, 18
P2, 150, 50, 60, 123, 105, 87, 69, 51, 33
P3, 150, 60, 80, 127, 111, 95, 78, 61, 45
S1, 130, 11, 21, 31, –, 94, 82, 69, 56, 44
S2, 130, 11, 21, 32, –, 92, 80, 67, 54, 41
S3, 130, 12, 22, 33, –, 78, 67, 56, 45, 35
S4, 130, 12, 22, 34, –, 80, 69, 58, 47, 36
S5, 130, 13, 23, 35, –, 93, 82, 70, 59, 48
