Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 32, 28, 24, 21, 18
Component 12, 40, 29, 26, 23, 20, 17
Component 13, 40, 28, 25, 22, 19, 17
Component 21, 60, 45, 41, 35, 29, 23
Component 22, 60, 43, 39, 33, 28, 22
Component 23, 60, 40, 37, 31, 26, 21
Component 31, 40, 31, 28, 24, 21, 18
Component 32, 40, 31, 28, 25, 22, 19
Component 33, 40, 29, 26, 22, 19, 16
Component 34, 40, 26, 23, 20, 17, 14
Component 35, 40, 26, 23, 20, 17, 15
Component 41, 100, 68, 58, 50, 42, 33
Component 42, 100, 64, 58, 50, 41, 32
Component 43, 100, 68, 58, 50, 42, 33
Component 51, 30, 23, 20, 17, 14, 12
Component 52, 30, 20, 17, 14, 12, 10
Component 53, 30, 23, 20, 17, 14, 12
