Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 24, 21, 18, 16, 13
Component 12, 40, 24, 21, 18, 15, 13
Component 13, 40, 30, 27, 23, 20, 17
Component 21, 60, 35, 30, 26, 21, 16
Component 22, 60, 35, 30, 26, 21, 16
Component 23, 60, 35, 31, 27, 22, 17
Component 31, 40, 28, 25, 21, 17, 14
Component 33, 40, 28, 24, 20, 17, 13
Component 34, 40, 25, 21, 17, 14, 11
Component 35, 40, 29, 26, 22, 18, 15
Component 36, 40, 30, 27, 23, 19, 16
Component 41, 100, 55, 45, 38, 31, 23
Component 42, 100, 60, 51, 44, 36, 27
Component 43, 100, 55, 45, 38, 31, 23
Component 51, 30, 20, 18, 15, 12, 10
Component 52, 30, 19, 17, 14, 12, 10
Component 53, 30, 20, 18, 15, 12, 10
