Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 204, 185, 166, 143, 120, 98
AY, 12/22/33/42/52, 188, 170, 152, 129, 107, 85
AZ, 13/23/35/43/53, 198, 180, 162, 141, 120, 100
BX1, 41/51/84, 202, 182, 162, 138, 115, 92
BX2, 41/51/87, 202, 183, 164, 140, 117, 94
BY1, 42/52/85, 191, 174, 157, 134, 111, 88
BY2, 42/52/88, 191, 174, 157, 134, 111, 89
BZ1, 43/53/86, 198, 181, 164, 145, 126, 108
CP1, 43/53/94, 194, 176, 158, 138, 118, 98
CQ1, 41/51/95, 198, 178, 158, 136, 115, 94
CQ2, 41/51/98, 198, 178, 158, 136, 115, 94
CR1, 42/52/96, 192, 174, 156, 135, 114, 93
CR2, 42/52/99, 192, 174, 156, 134, 113, 92
CX1, 41/51/94, 192, 173, 154, 133, 112, 92
CY1, 42/52/95, 190, 172, 154, 132, 110, 88
CY2, 42/52/98, 190, 172, 154, 132, 110, 88
CZ1, 43/53/96, 202, 183, 164, 144, 124, 105
HX, 11/21/32/41/51, 202, 184, 166, 143, 121, 99
HY, 12/22/34/42/52, 185, 167, 149, 127, 105, 83
S1, 11/21/31, –, 100, 91, 79, 67, 55
S2, 11/21/32, –, 99, 91, 79, 67, 56
S3, 12/22/33, –, 91, 81, 70, 59, 48
S4, 12/22/34, –, 88, 78, 67, 56, 46
S5, 13/23/35, –, 92, 83, 72, 61, 51
