Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 32, 29, 25, 22, 19
Component 12, 40, 26, 22, 19, 17, 15
Component 13, 40, 29, 26, 23, 21, 18
Component 21, 60, 39, 34, 28, 20, 14
Component 22, 60, 38, 33, 27, 21, 16
Component 23, 60, 41, 36, 31, 25, 19
Component 31, 40, 32, 29, 25, 22, 19
Component 32, 40, 33, 31, 27, 25, 21
Component 33, 40, 31, 28, 25, 22, 19
Component 34, 40, 32, 29, 26, 24, 20
Component 35, 40, 31, 29, 26, 24, 22
Component 41, 100, 67, 56, 49, 41, 33
Component 42, 100, 64, 54, 46, 37, 28
Component 43, 100, 64, 54, 46, 37, 28
Component 50, 75, 54, 45, 38, 31, 25
Component 51, 30, 21, 17, 15, 13, 11
Component 52, 30, 20, 17, 14, 12, 10
Component 53, 30, 22, 19, 16, 14, 12
Component 60, 75, 54, 47, 39, 32, 24
