Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 27, 24, 21, 18
Component 12, 40, 28, 25, 21, 17, 13
Component 13, 40, 27, 24, 21, 18, 15
Component 21, 60, 35, 31, 25, 20, 15
Component 22, 60, 34, 25, 20, 16, 11
Component 23, 60, 31, 27, 22, 17, 12
Component 31, 40, 28, 25, 22, 19, 16
Component 33, 40, 33, 29, 26, 23, 20
Component 34, 40, 32, 28, 24, 20, 17
Component 35, 40, 32, 29, 26, 24, 21
Component 36, 40, 29, 27, 24, 21, 19
Component 41, 100, 58, 51, 45, 38, 30
Component 42, 100, 57, 48, 39, 30, 21
Component 43, 100, 58, 51, 45, 38, 30
Component 50, 75, 54, 45, 36, 27, 18
Component 51, 30, 19, 16, 13, 10, 8
Component 52, 30, 14, 12, 10, 8, 6
Component 53, 30, 19, 16, 13, 10, 8
