Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 28, 24, 21, 18
Component 12, 40, 30, 27, 24, 21, 19
Component 13, 40, 30, 27, 23, 20, 16
Component 21, 60, 41, 35, 30, 25, 19
Component 22, 60, 43, 37, 32, 27, 21
Component 23, 60, 38, 34, 30, 25, 20
Component 31, 40, 30, 28, 26, 24, 22
Component 33, 40, 32, 29, 26, 23, 20
Component 34, 40, 30, 28, 25, 23, 21
Component 35, 40, 31, 28, 25, 23, 21
Component 36, 40, 31, 28, 25, 22, 20
Component 41, 100, 62, 52, 44, 35, 26
Component 42, 100, 62, 52, 44, 35, 26
Component 43, 100, 64, 56, 50, 43, 35
Component 51, 30, 18, 16, 13, 11, 9
Component 52, 30, 18, 16, 13, 11, 9
Component 53, 30, 23, 21, 18, 15, 13
