Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 31, 28, 25, 22, 20
Component 12, 40, 30, 26, 23, 20, 18
Component 13, 40, 32, 28, 24, 21, 18
Component 21, 60, 43, 38, 33, 28, 23
Component 22, 60, 41, 35, 30, 25, 21
Component 23, 60, 37, 31, 26, 21, 17
Component 31, 40, 27, 25, 22, 19, 16
Component 33, 40, 27, 24, 21, 18, 15
Component 34, 40, 25, 22, 20, 18, 15
Component 35, 40, 28, 25, 23, 21, 19
Component 36, 40, 30, 26, 24, 22, 20
Component 41, 100, 61, 53, 44, 35, 26
Component 42, 100, 61, 53, 44, 35, 26
Component 43, 100, 66, 59, 49, 40, 31
Component 51, 30, 19, 17, 14, 12, 10
Component 52, 30, 19, 17, 14, 12, 10
Component 53, 30, 24, 21, 18, 15, 12
