Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 177, 155, 133, 113, 93, 73
AY, 12/22/33/42/52, 181, 159, 137, 116, 96, 76
AZ, 13/23/35/43/53, 183, 162, 141, 120, 99, 78
BT1, 42/52/84, 191, 171, 151, 129, 107, 85
BT2, 42/52/87, 193, 173, 153, 131, 109, 87
BTJ, 42/52, 91, 77, 63, 51, 40, 29
BU1, 43/53/85, 188, 166, 144, 123, 102, 82
BU2, 43/53/88, 186, 164, 142, 121, 100, 80
BUJ, 43/53, 88, 73, 58, 47, 36, 25
BX1, 41/51/84, 188, 167, 146, 124, 102, 81
BY1, 42/52/85, 191, 170, 149, 128, 107, 86
BY2, 42/52/88, 189, 168, 147, 126, 105, 84
BYJ, 42/52, 91, 77, 63, 51, 40, 29
BZJ, 43/53, 88, 73, 58, 47, 36, 25
CY1, 42/52/95, 198, 176, 154, 133, 112, 92
CY2, 42/52/98, 197, 175, 153, 133, 113, 93
CZ1, 43/53/96, 187, 166, 145, 125, 105, 85
CZ2, 43/53/99, 187, 166, 145, 124, 104, 84
EV, 42/52/75, 196, 174, 152, 130, 109, 88
HY, 12/22/34/42/52, 179, 157, 135, 114, 94, 74
HZ, 13/23/36/43/53, 185, 163, 141, 120, 99, 79
WB1, 43/53/82, 187, 166, 145, 124, 103, 82
S1, 11/21/31, –, 80, 70, 60, 50, 40
S3, 12/22/33, –, 80, 69, 59, 49, 39
S4, 12/22/34, –, 78, 67, 57, 47, 37
S5, 13/23/35, –, 87, 78, 67, 56, 45
S6, 13/23/36, –, 88, 78, 67, 56, 46
