Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 194, 174, 154, 133, 112, 91
AY, 12/22/33/42/52, 194, 175, 156, 134, 112, 91
AZ, 13/23/35/43/53, 202, 181, 160, 139, 118, 98
BT1, 42/52/84, 198, 179, 160, 136, 112, 89
BT2, 42/52/87, 198, 180, 162, 138, 114, 91
BU1, 43/53/85, 201, 181, 161, 138, 115, 93
BU2, 43/53/88, 201, 181, 161, 138, 116, 94
BX1, 41/51/84, 204, 183, 162, 138, 114, 91
BY1, 42/52/85, 195, 177, 159, 136, 113, 91
BY2, 42/52/88, 195, 177, 159, 136, 114, 92
BZ1, 43/53/86, 198, 179, 160, 140, 120, 101
CY1, 42/52/95, 195, 176, 157, 136, 115, 94
CY2, 42/52/98, 193, 174, 155, 135, 115, 95
CZ1, 43/53/96, 200, 177, 154, 133, 113, 93
CZ2, 43/53/99, 200, 177, 154, 133, 113, 93
EV, 42/52/75, 192, 175, 158, 137, 117, 97
HY, 12/22/34/42/52, 194, 175, 156, 134, 112, 91
HZ, 13/23/36/43/53, 202, 181, 160, 139, 118, 97
S1, 11/21/31, –, 88, 79, 69, 59, 49
S3, 12/22/33, –, 93, 83, 72, 61, 51
S4, 12/22/34, –, 93, 83, 72, 61, 51
S5, 13/23/35, –, 95, 85, 75, 65, 56
S6, 13/23/36, –, 95, 85, 75, 65, 55
