Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 208, 187, 166, 144, 122, 100
AY, 12/22/33/42/52, 190, 174, 158, 136, 114, 93
AZ, 13/23/35/43/53, 195, 175, 155, 134, 114, 94
BX1, 41/51/84, 210, 190, 170, 147, 124, 102
BX2, 41/51/87, 210, 190, 170, 147, 124, 102
BY1, 42/52/85, 199, 183, 167, 144, 121, 99
BY2, 42/52/88, 199, 183, 167, 144, 121, 99
BZ1, 43/53/86, 210, 190, 170, 147, 124, 102
CP1, 43/53/94, 201, 181, 161, 140, 120, 100
CQ1, 41/51/95, 201, 178, 155, 135, 115, 95
CQ2, 41/51/98, 200, 177, 154, 134, 114, 95
CR1, 42/52/96, 189, 170, 151, 131, 111, 91
CR2, 42/52/99, 192, 172, 152, 132, 112, 92
CX1, 41/51/94, 201, 181, 161, 140, 120, 100
CY1, 42/52/95, 190, 171, 152, 132, 112, 92
CY2, 42/52/98, 189, 170, 151, 131, 111, 92
HX, 11/21/32/41/51, 208, 187, 166, 144, 122, 100
HY, 12/22/34/42/52, 189, 172, 155, 134, 113, 92
S1, 11/21/31, –, 98, 89, 77, 66, 55
S2, 11/21/32, –, 98, 89, 77, 66, 55
S3, 12/22/33, –, 92, 84, 73, 62, 51
S4, 12/22/34, –, 90, 81, 70, 60, 50
S5, 13/23/35, –, 86, 78, 68, 58, 49
