Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 24, 20, 16, 13
Component 12, 40, 27, 23, 20, 17, 14
Component 13, 40, 30, 26, 22, 18, 15
Component 21, 60, 38, 33, 27, 21, 14
Component 22, 60, 38, 34, 28, 22, 15
Component 23, 60, 39, 33, 27, 21, 14
Component 31, 40, 28, 24, 20, 16, 12
Component 32, 40, 29, 25, 20, 16, 12
Component 33, 40, 31, 27, 23, 20, 17
Component 34, 40, 28, 24, 21, 18, 16
Component 35, 40, 31, 28, 24, 20, 16
Component 41, 100, 60, 53, 46, 38, 30
Component 42, 100, 56, 47, 38, 29, 20
Component 43, 100, 64, 55, 48, 40, 32
Component 51, 30, 21, 18, 15, 12, 10
Component 52, 30, 20, 17, 14, 11, 8
Component 53, 30, 21, 19, 16, 14, 11
