Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 27, 24, 21, 18
Component 12, 40, 29, 26, 23, 20, 18
Component 13, 40, 31, 27, 24, 21, 18
Component 21, 60, 40, 36, 31, 26, 21
Component 22, 60, 43, 37, 32, 27, 22
Component 23, 60, 39, 33, 28, 23, 18
Component 31, 40, 26, 23, 20, 17, 14
Component 33, 40, 32, 29, 25, 22, 19
Component 34, 40, 29, 27, 24, 22, 20
Component 35, 40, 30, 26, 24, 22, 20
Component 36, 40, 31, 27, 24, 22, 20
Component 41, 100, 64, 56, 46, 37, 26
Component 42, 100, 64, 56, 46, 37, 26
Component 43, 100, 63, 55, 46, 36, 26
Component 51, 30, 19, 17, 14, 11, 9
Component 52, 30, 19, 17, 14, 11, 9
Component 53, 30, 22, 19, 16, 14, 12
