Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 33, 29, 25, 22, 19
Component 12, 40, 33, 30, 26, 23, 20
Component 13, 40, 30, 27, 24, 21, 19
Component 21, 60, 46, 43, 36, 29, 23
Component 22, 60, 40, 37, 31, 26, 21
Component 23, 60, 42, 39, 33, 28, 23
Component 31, 40, 30, 26, 23, 19, 16
Component 32, 40, 32, 28, 25, 22, 19
Component 33, 40, 28, 25, 21, 18, 15
Component 34, 40, 27, 24, 21, 18, 15
Component 35, 40, 26, 24, 22, 20, 18
Component 41, 100, 67, 56, 47, 38, 29
Component 42, 100, 61, 56, 48, 40, 32
Component 43, 100, 67, 56, 47, 38, 29
Component 51, 30, 21, 18, 15, 13, 10
Component 52, 30, 23, 20, 17, 14, 11
Component 53, 30, 21, 18, 15, 13, 10
