Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 25, 21, 18, 15
Component 12, 40, 27, 23, 19, 16, 13
Component 13, 40, 31, 28, 24, 21, 18
Component 21, 60, 39, 34, 29, 22, 16
Component 22, 60, 32, 27, 23, 18, 14
Component 23, 60, 38, 32, 26, 21, 14
Component 31, 40, 33, 30, 25, 21, 17
Component 32, 40, 31, 28, 23, 18, 13
Component 33, 40, 25, 22, 18, 14, 11
Component 34, 40, 28, 25, 21, 17, 12
Component 35, 40, 32, 29, 26, 23, 21
Component 41, 100, 68, 60, 52, 43, 33
Component 42, 100, 58, 49, 40, 31, 21
Component 43, 100, 60, 54, 48, 41, 34
Component 50, 75, 54, 45, 36, 27, 18
Component 51, 30, 18, 16, 13, 10, 8
Component 52, 30, 18, 16, 13, 10, 8
Component 53, 30, 18, 16, 14, 12, 10
Component 60, 75, 51, 42, 33, 24, 15
