Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 26, 23, 20, 17, 14
Component 12, 40, 27, 24, 20, 16, 13
Component 13, 40, 26, 22, 18, 15, 12
Component 21, 60, 37, 31, 25, 19, 13
Component 22, 60, 36, 29, 24, 19, 14
Component 23, 60, 31, 24, 21, 16, 12
Component 31, 40, 28, 25, 22, 20, 18
Component 33, 40, 31, 28, 24, 20, 16
Component 34, 40, 27, 24, 20, 17, 13
Component 35, 40, 30, 27, 23, 20, 17
Component 36, 40, 31, 28, 24, 21, 18
Component 41, 100, 61, 53, 47, 40, 32
Component 42, 100, 66, 56, 47, 38, 27
Component 43, 100, 61, 53, 47, 40, 32
Component 51, 30, 23, 20, 17, 15, 13
Component 52, 30, 21, 18, 15, 12, 10
Component 53, 30, 23, 20, 17, 15, 13
