Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 34, 31, 27, 24, 21
Component 12, 40, 29, 25, 21, 18, 15
Component 13, 40, 30, 27, 24, 21, 18
Component 21, 60, 43, 38, 32, 26, 20
Component 22, 60, 41, 37, 31, 25, 20
Component 23, 60, 41, 36, 30, 24, 18
Component 31, 40, 33, 30, 26, 22, 19
Component 32, 40, 32, 30, 26, 23, 20
Component 33, 40, 30, 27, 24, 21, 17
Component 34, 40, 26, 23, 20, 17, 14
Component 35, 40, 31, 28, 25, 22, 20
Component 41, 100, 66, 57, 49, 41, 33
Component 42, 100, 63, 56, 47, 39, 29
Component 43, 100, 68, 60, 52, 44, 36
Component 51, 30, 21, 19, 16, 13, 10
Component 52, 30, 18, 16, 13, 10, 8
Component 53, 30, 22, 20, 17, 15, 13
