Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 31, 26, 22, 18, 15
Component 12, 40, 31, 26, 22, 18, 15
Component 13, 40, 31, 26, 22, 18, 15
Component 21, 60, 42, 32, 27, 22, 15
Component 22, 60, 42, 32, 27, 22, 16
Component 23, 60, 42, 32, 26, 21, 15
Component 31, 40, 29, 25, 21, 17, 14
Component 33, 40, 29, 25, 21, 17, 14
Component 34, 40, 29, 26, 23, 20, 17
Component 35, 40, 29, 25, 21, 17, 14
Component 36, 40, 26, 23, 19, 16, 13
Component 41, 100, 67, 61, 51, 41, 31
Component 42, 100, 69, 64, 54, 44, 34
Component 43, 100, 67, 61, 51, 41, 31
Component 51, 30, 21, 19, 16, 13, 10
Component 52, 30, 23, 21, 17, 14, 11
Component 53, 30, 21, 19, 16, 13, 10
