Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 29, 26, 22, 18, 14
Component 12, 40, 28, 25, 20, 16, 12
Component 13, 40, 28, 25, 20, 16, 12
Component 21, 60, 40, 34, 27, 21, 15
Component 22, 60, 36, 29, 24, 19, 14
Component 23, 60, 42, 34, 27, 21, 15
Component 31, 40, 26, 23, 19, 15, 12
Component 32, 40, 25, 22, 18, 14, 11
Component 33, 40, 21, 18, 14, 11, 8
Component 34, 40, 25, 21, 17, 13, 9
Component 35, 40, 26, 22, 18, 14, 11
Component 41, 100, 56, 49, 41, 33, 25
Component 42, 100, 55, 48, 40, 32, 24
Component 43, 100, 56, 49, 41, 33, 25
Component 51, 30, 21, 18, 16, 14, 12
Component 52, 30, 24, 20, 18, 16, 14
Component 53, 30, 21, 18, 16, 14, 12
