Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 205, 180, 155, 131, 107, 84
AY, 12/22/33/42/52, 204, 181, 158, 134, 110, 86
AZ, 13/23/35/43/53, 205, 180, 155, 131, 107, 84
BT1, 42/52/84, 192, 175, 158, 132, 107, 82
BT2, 42/52/87, 190, 174, 158, 132, 106, 81
BU1, 43/53/85, 186, 168, 150, 125, 100, 76
BU2, 43/53/88, 190, 171, 152, 127, 102, 77
BY1, 42/52/85, 183, 166, 149, 124, 100, 76
BY2, 42/52/88, 187, 169, 151, 126, 101, 77
BZ1, 43/53/86, 198, 178, 158, 131, 105, 79
CX1, 41/51/94, 200, 177, 154, 130, 107, 84
CY1, 42/52/95, 195, 175, 155, 132, 109, 87
CY2, 42/52/98, 197, 176, 155, 132, 109, 87
CZ1, 43/53/96, 200, 177, 154, 130, 107, 84
CZ2, 43/53/99, 200, 176, 152, 128, 104, 81
EV, 42/52/75, 195, 178, 161, 136, 111, 87
HY, 12/22/34/42/52, 200, 177, 154, 130, 106, 82
HZ, 13/23/36/43/53, 202, 177, 152, 128, 104, 81
S1, 11/21/31, –, 90, 72, 61, 50, 40
S3, 12/22/33, –, 93, 76, 64, 53, 42
S4, 12/22/34, –, 89, 72, 60, 49, 38
S5, 13/23/35, –, 90, 72, 61, 50, 40
S6, 13/23/36, –, 87, 69, 58, 47, 37
