Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 260, 11, 21, 31, 41,
51, 184, 160, 136, 112, 88, 64
AY, 260, 12, 22, 33, 42,
52, 197, 161, 125, 102, 79, 56
BX1, 260, 41, 51, 84, 175, 150, 125, 101, 77, 53
BX2, 260, 41, 51, 87, 175, 150, 125, 101, 77, 53
BY1, 260, 42, 52, 85, 185, 153, 121, 97, 74, 51
BY2, 260, 42, 52, 88, 187, 154, 121, 97, 74, 51
BZ1, 260, 43, 53, 86, 174, 149, 124, 100, 76, 53
CP1, 260, 43, 53, 94, 181, 155, 129, 107, 85, 63
CQ1, 260, 41, 51, 95, 178, 153, 128, 104, 81, 58
CQ2, 260, 41, 51, 98, 177, 152, 127, 103, 80, 57
CR1, 260, 42, 52, 96, 189, 158, 127, 105, 83, 61
CR2, 260, 42, 52, 99, 189, 158, 127, 104, 82, 60
CX1, 260, 41, 51, 94, 181, 155, 129, 107, 85, 63
CY1, 260, 42, 52, 95, 186, 156, 126, 102, 79, 56
CY2, 260, 42, 52, 98, 185, 155, 125, 101, 78, 55
HX, 260, 11, 21, 32, 41,
51, 184, 160, 136, 111, 87, 63
HY, 260, 12, 22, 34, 42,
52, 197, 161, 125, 102, 79, 56
P1, 75, 50, –, 55, 45, 39, 33, 28
P2, 150, 50, 60, 129, 110, 91, 79, 68, 57
P3, 150, 60, 80, 131, 115, 99, 85, 72, 59
S1, 130, 11, 21, 31, –, 82, 69, 57, 45, 34
S2, 130, 11, 21, 32, –, 82, 69, 57, 45, 33
S3, 130, 12, 22, 33, –, 80, 60, 49, 38, 28
S4, 130, 12, 22, 34, –, 80, 60, 49, 38, 28
S5, 130, 13, 23, 35, –, 80, 66, 55, 44, 33
