Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 186, 169, 152, 131, 111, 91
AY, 12/22/33/42/52, 198, 177, 156, 132, 109, 86
AZ, 13/23/35/43/53, 186, 169, 152, 131, 111, 91
BT1, 42/52/84, 201, 182, 163, 136, 109, 83
BT2, 42/52/87, 200, 181, 162, 135, 108, 81
BU1, 43/53/85, 194, 178, 162, 137, 113, 89
BU2, 43/53/88, 194, 177, 160, 136, 112, 88
BW1, 43/53/89, 190, 174, 158, 133, 108, 84
BW2, 43/53/83, 190, 173, 156, 131, 107, 83
BY1, 42/52/85, 202, 183, 164, 138, 112, 87
BY2, 42/52/88, 202, 182, 162, 136, 111, 86
BZ1, 43/53/86, 195, 178, 161, 136, 111, 86
CY1, 42/52/95, 206, 182, 158, 134, 110, 86
CY2, 42/52/98, 205, 182, 159, 135, 111, 88
CZ1, 43/53/96, 198, 177, 156, 133, 110, 87
CZ2, 43/53/99, 196, 175, 154, 131, 108, 86
EV, 42/52/75, 194, 178, 162, 139, 117, 95
HY, 12/22/34/42/52, 197, 176, 155, 131, 108, 85
HZ, 13/23/36/43/53, 184, 168, 152, 132, 112, 92
S1, 11/21/31, –, 85, 72, 63, 54, 45
S3, 12/22/33, –, 88, 74, 63, 52, 42
S4, 12/22/34, –, 87, 73, 62, 51, 41
S5, 13/23/35, –, 85, 72, 63, 54, 45
S6, 13/23/36, –, 84, 72, 63, 54, 46
