Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 24, 19, 16, 13, 11
Component 12, 40, 22, 18, 15, 13, 11
Component 13, 40, 24, 19, 16, 13, 11
Component 21, 60, 31, 25, 21, 17, 12
Component 22, 60, 36, 29, 23, 18, 11
Component 23, 60, 31, 25, 21, 17, 12
Component 31, 40, 27, 24, 20, 16, 12
Component 33, 40, 20, 17, 14, 11, 9
Component 34, 40, 20, 17, 14, 11, 9
Component 35, 40, 27, 24, 20, 16, 12
Component 36, 40, 27, 24, 20, 16, 12
Component 41, 100, 68, 61, 50, 38, 26
Component 42, 100, 61, 53, 44, 34, 23
Component 43, 100, 68, 61, 50, 38, 26
Component 51, 30, 20, 16, 13, 11, 9
Component 52, 30, 18, 16, 13, 11, 9
Component 53, 30, 20, 16, 13, 11, 9
