Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 24, 19, 15, 11
Component 12, 40, 26, 22, 18, 14, 11
Component 13, 40, 25, 22, 18, 14, 11
Component 21, 60, 39, 32, 24, 16, 8
Component 22, 60, 39, 31, 24, 18, 11
Component 23, 60, 38, 30, 23, 17, 10
Component 31, 40, 24, 19, 15, 11, 7
Component 32, 40, 24, 19, 15, 11, 7
Component 33, 40, 20, 17, 14, 11, 8
Component 34, 40, 20, 17, 14, 11, 8
Component 35, 40, 21, 17, 14, 11, 8
Component 41, 100, 53, 47, 40, 32, 23
Component 42, 100, 60, 53, 43, 33, 23
Component 43, 100, 53, 47, 40, 32, 23
Component 51, 30, 17, 13, 11, 9, 8
Component 52, 30, 22, 17, 14, 11, 8
Component 53, 30, 17, 13, 11, 9, 8
