Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 182, 162, 142, 119, 97, 75
AY, 12/22/33/42/52, 176, 155, 134, 112, 91, 70
AZ, 13/23/35/43/53, 185, 163, 141, 118, 95, 72
BX1, 41/51/84, 191, 170, 149, 125, 101, 78
BX2, 41/51/87, 191, 170, 149, 125, 101, 78
BY1, 42/52/85, 194, 172, 150, 126, 102, 79
BY2, 42/52/88, 194, 172, 150, 126, 102, 79
BZ1, 43/53/86, 191, 170, 149, 125, 101, 78
CP1, 43/53/94, 187, 162, 137, 117, 97, 77
CQ1, 41/51/95, 185, 162, 139, 119, 99, 80
CQ2, 41/51/98, 187, 163, 139, 119, 99, 80
CR1, 42/52/96, 190, 164, 138, 118, 98, 78
CR2, 42/52/99, 190, 163, 136, 115, 95, 75
CX1, 41/51/94, 187, 162, 137, 117, 97, 77
CY1, 42/52/95, 188, 164, 140, 120, 100, 81
CY2, 42/52/98, 190, 165, 140, 120, 100, 81
HX, 11/21/32/41/51, 180, 161, 142, 119, 96, 74
HY, 12/22/34/42/52, 180, 158, 136, 114, 92, 71
S1, 11/21/31, –, 87, 76, 63, 50, 38
S2, 11/21/32, –, 86, 76, 63, 50, 37
S3, 12/22/33, –, 78, 67, 55, 43, 32
S4, 12/22/34, –, 81, 69, 57, 45, 33
S5, 13/23/35, –, 88, 75, 61, 48, 35
