Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX1, 11/21/31/41/51, 199, 175, 151, 127, 103, 79
AY1, 12/22/33/42/52, 202, 178, 154, 128, 103, 78
BX, 41/51/66, 186, 162, 138, 116, 94, 72
BY, 42/52/66, 189, 165, 141, 117, 94, 71
BZ, 43/53/66, 186, 162, 138, 116, 94, 72
CX, 41/51/67, 193, 165, 137, 117, 97, 77
CY, 42/52/67, 196, 168, 140, 118, 97, 76
CZ, 43/53/67, 193, 165, 137, 117, 97, 77
EX1, 11/21/32/41/51, 199, 175, 151, 127, 103, 79
EY1, 12/22/34/42/52, 202, 178, 154, 128, 103, 78
S1, 11/21/31, –, 95, 83, 69, 55, 41
S2, 11/21/32, –, 95, 83, 69, 55, 41
S3, 12/22/33, –, 95, 83, 69, 55, 41
S4, 12/22/34, –, 95, 83, 69, 55, 41
S5, 13/23/35, –, 95, 83, 69, 55, 41
