Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 25, 21, 17, 14
Component 12, 40, 25, 20, 17, 14, 12
Component 13, 40, 30, 25, 21, 17, 14
Component 21, 60, 39, 30, 26, 22, 17
Component 22, 60, 41, 34, 29, 24, 18
Component 23, 60, 39, 30, 26, 22, 17
Component 31, 40, 27, 24, 20, 17, 14
Component 33, 40, 25, 22, 19, 16, 13
Component 34, 40, 25, 23, 20, 17, 15
Component 35, 40, 27, 24, 20, 17, 14
Component 36, 40, 27, 24, 20, 17, 14
Component 41, 100, 64, 60, 49, 38, 27
Component 42, 100, 69, 64, 54, 44, 33
Component 43, 100, 64, 60, 49, 38, 27
Component 51, 30, 24, 22, 19, 16, 13
Component 52, 30, 19, 17, 14, 11, 9
Component 53, 30, 24, 22, 19, 16, 13
