Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 27, 22, 17, 12
Component 12, 40, 30, 27, 22, 17, 13
Component 13, 40, 30, 27, 22, 17, 13
Component 21, 60, 44, 36, 29, 23, 16
Component 22, 60, 48, 40, 33, 28, 21
Component 23, 60, 46, 38, 31, 25, 18
Component 31, 40, 28, 25, 21, 17, 14
Component 32, 40, 27, 24, 20, 16, 12
Component 33, 40, 24, 21, 18, 15, 12
Component 34, 40, 23, 19, 16, 13, 10
Component 35, 40, 26, 23, 19, 15, 12
Component 41, 100, 66, 58, 48, 39, 29
Component 42, 100, 68, 59, 49, 39, 29
Component 43, 100, 66, 58, 48, 39, 29
Component 51, 30, 24, 20, 17, 14, 11
Component 52, 30, 21, 17, 15, 13, 11
Component 53, 30, 24, 20, 17, 14, 11
