Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 29, 24, 20, 17, 14
Component 12, 40, 26, 21, 18, 15, 12
Component 13, 40, 29, 24, 20, 17, 14
Component 21, 60, 37, 30, 27, 24, 20
Component 22, 60, 44, 37, 31, 26, 21
Component 23, 60, 37, 30, 27, 24, 20
Component 31, 40, 28, 25, 21, 17, 14
Component 33, 40, 27, 23, 19, 15, 12
Component 34, 40, 25, 21, 17, 13, 10
Component 35, 40, 28, 25, 21, 17, 14
Component 36, 40, 27, 25, 22, 19, 16
Component 41, 100, 66, 63, 54, 45, 35
Component 42, 100, 71, 65, 55, 45, 34
Component 43, 100, 66, 63, 54, 45, 35
Component 51, 30, 20, 18, 15, 13, 11
Component 52, 30, 20, 18, 15, 12, 10
Component 53, 30, 20, 18, 15, 13, 11
