Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 190, 168, 146, 122, 99, 76
AY, 12/22/33/42/52, 194, 170, 146, 122, 99, 76
AZ, 13/23/35/43/53, 192, 168, 144, 120, 96, 72
BX1, 41/51/84, 189, 167, 145, 121, 98, 75
BX2, 41/51/87, 187, 166, 145, 121, 97, 74
BY1, 42/52/85, 183, 160, 137, 115, 93, 71
BY2, 42/52/88, 187, 163, 139, 116, 94, 72
BZ1, 43/53/86, 192, 168, 144, 120, 96, 72
CP1, 43/53/94, 199, 170, 141, 119, 98, 77
CQ1, 41/51/95, 201, 173, 145, 123, 101, 79
CQ2, 41/51/98, 197, 169, 141, 119, 97, 75
CR1, 42/52/96, 202, 172, 142, 121, 100, 79
CR2, 42/52/99, 199, 169, 139, 118, 97, 76
CX1, 41/51/94, 199, 170, 141, 119, 98, 77
CY1, 42/52/95, 204, 175, 146, 124, 102, 81
CY2, 42/52/98, 200, 171, 142, 120, 98, 77
CZ1, 43/53/96, 199, 170, 141, 119, 98, 77
CZ2, 43/53/99, 196, 167, 138, 116, 95, 74
HX, 11/21/32/41/51, 191, 169, 147, 124, 101, 78
HY, 12/22/34/42/52, 192, 167, 142, 119, 96, 73
S1, 11/21/31, –, 88, 77, 64, 51, 39
S2, 11/21/32, –, 89, 78, 65, 53, 41
S3, 12/22/33, –, 88, 76, 63, 50, 37
S4, 12/22/34, –, 85, 72, 59, 46, 34
S5, 13/23/35, –, 88, 75, 61, 48, 35
