Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 25, 21, 17, 14
Component 12, 40, 30, 25, 21, 17, 14
Component 13, 40, 30, 25, 21, 17, 14
Component 21, 60, 42, 31, 26, 21, 15
Component 22, 60, 42, 32, 26, 22, 16
Component 23, 60, 42, 31, 26, 21, 15
Component 31, 40, 27, 22, 19, 16, 14
Component 33, 40, 30, 26, 22, 19, 16
Component 34, 40, 25, 21, 17, 14, 11
Component 35, 40, 27, 22, 19, 16, 14
Component 36, 40, 23, 18, 15, 13, 11
Component 41, 100, 69, 63, 53, 43, 33
Component 42, 100, 67, 62, 53, 43, 33
Component 43, 100, 69, 63, 53, 43, 33
Component 51, 30, 23, 21, 17, 14, 11
Component 52, 30, 23, 21, 17, 14, 11
Component 53, 30, 23, 21, 17, 14, 11
