Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 25, 21, 17, 14
Component 12, 40, 28, 25, 20, 16, 12
Component 13, 40, 30, 27, 22, 17, 13
Component 21, 60, 31, 25, 20, 16, 11
Component 22, 60, 45, 37, 31, 26, 19
Component 23, 60, 45, 37, 31, 26, 19
Component 31, 40, 27, 24, 20, 16, 13
Component 32, 40, 27, 24, 20, 16, 13
Component 33, 40, 25, 22, 17, 14, 10
Component 34, 40, 28, 25, 20, 16, 12
Component 35, 40, 29, 26, 21, 16, 12
Component 41, 100, 63, 54, 45, 37, 29
Component 42, 100, 65, 57, 48, 38, 29
Component 43, 100, 63, 54, 45, 37, 29
Component 51, 30, 19, 15, 13, 11, 9
Component 52, 30, 20, 15, 12, 10, 8
Component 53, 30, 19, 15, 13, 11, 9
