Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 22, 18, 15, 13, 11
Component 12, 40, 22, 18, 15, 13, 11
Component 13, 40, 22, 18, 15, 13, 11
Component 21, 60, 31, 25, 21, 16, 11
Component 22, 60, 33, 28, 23, 16, 10
Component 23, 60, 31, 25, 21, 16, 11
Component 31, 40, 21, 19, 15, 11, 8
Component 33, 40, 23, 19, 15, 11, 7
Component 34, 40, 21, 17, 13, 10, 7
Component 35, 40, 21, 19, 15, 11, 8
Component 36, 40, 20, 17, 13, 10, 7
Component 41, 100, 61, 54, 44, 34, 23
Component 42, 100, 53, 46, 38, 29, 19
Component 43, 100, 61, 54, 44, 34, 23
Component 51, 30, 22, 19, 16, 13, 11
Component 52, 30, 19, 16, 13, 11, 9
Component 53, 30, 22, 19, 16, 13, 11
