Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 26, 21, 17, 13
Component 12, 40, 27, 23, 19, 15, 11
Component 13, 40, 28, 26, 22, 18, 13
Component 21, 60, 35, 26, 22, 17, 12
Component 22, 60, 36, 24, 19, 14, 9
Component 23, 60, 35, 26, 22, 17, 12
Component 31, 40, 25, 22, 18, 15, 12
Component 32, 40, 25, 23, 18, 14, 10
Component 33, 40, 22, 17, 14, 12, 10
Component 34, 40, 22, 17, 14, 12, 10
Component 35, 40, 22, 18, 15, 12, 10
Component 41, 100, 59, 51, 42, 32, 22
Component 42, 100, 60, 47, 38, 28, 18
Component 43, 100, 59, 51, 42, 32, 22
Component 50, 75, 55, 45, 39, 33, 28
Component 51, 30, 19, 16, 13, 11, 8
Component 52, 30, 21, 18, 15, 13, 10
Component 53, 30, 19, 16, 13, 11, 8
Component 60, 75, 55, 46, 40, 35, 29
