Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX (AX1), 11/21/31/41/51, 203, 179, 155, 130, 106, 82
AX (AX2), 11/21/31, –, 93, 76, 64, 52, 41
AY (AY1), 12/22/33/42/52, 206, 183, 160, 135, 111, 87
AY (AY2), 12/22/33, –, 93, 76, 64, 53, 42
AZ (AZ1), 13/23/35/43/53, 203, 179, 155, 130, 106, 82
AZ (AZ2), 13/23/35, –, 93, 76, 64, 52, 41
BT (BT1), 42/52/84, 195, 178, 161, 135, 109, 84
BT (BT2), 42/52/87, 196, 179, 162, 136, 111, 86
BU (BU1), 43/53/85, 193, 174, 155, 129, 103, 78
BU (BU2), 43/53/88, 191, 171, 151, 125, 100, 75
BX (BX1), 41/51/84, 192, 174, 156, 130, 105, 80
BX (BX2), 41/51/87, 193, 175, 157, 132, 107, 82
BY (BY1), 42/52/85, 196, 178, 160, 134, 108, 82
BY (BY2), 42/52/88, 194, 175, 156, 130, 104, 79
BZ (BZ1), 43/53/86, 194, 174, 154, 128, 102, 76
CY (CY1), 42/52/95, 206, 183, 160, 135, 111, 87
CY (CY2), 42/52/98, 202, 179, 156, 131, 107, 83
CZ (CZ1), 43/53/96, 201, 176, 151, 127, 104, 81
CZ (CZ2), 43/53/99, 198, 173, 148, 124, 101, 78
DV (DV1), 12/22/33/42/52, 206, 183, 160, 135, 111, 87
DV (DV2), 42/52/75, 188, 172, 156, 133, 110, 87
DV (DV3), 42/52/85, 196, 178, 160, 134, 108, 82
DV (DV4), 42/52/88, 194, 175, 156, 130, 104, 79
DV (DV5), 42/52/95, 206, 183, 160, 135, 111, 87
DV (DV6), 42/52/98, 202, 179, 156, 131, 107, 83
DV (DV7), 12/22/33, –, 93, 76, 64, 53, 42
DY (DY1), 12/22/33/42/52, 206, 183, 160, 135, 111, 87
DY (DY2), 42/52/85, 196, 178, 160, 134, 108, 82
DY (DY3), 42/52/88, 194, 175, 156, 130, 104, 79
DY (DY4), 42/52/95, 206, 183, 160, 135, 111, 87
DY (DY5), 42/52/98, 202, 179, 156, 131, 107, 83
DY (DY6), 12/22/33, –, 93, 76, 64, 53, 42
DZ (DZ1), 13/23/35/43/53, 203, 179, 155, 130, 106, 82
DZ (DZ2), 43/53/86, 194, 174, 154, 128, 102, 76
DZ (DZ4), 43/53/96, 201, 176, 151, 127, 104, 81
DZ (DZ5), 43/53/99, 198, 173, 148, 124, 101, 78
DZ (DZ6), 13/23/35, –, 93, 76, 64, 52, 41
EV, 42/52/75, 188, 172, 156, 133, 110, 87
GT (GT1), 12/22/33/42/52, 206, 183, 160, 135, 111, 87
GT (GT2), 42/52/84, 195, 178, 161, 135, 109, 84
GT (GT3), 42/52/87, 196, 179, 162, 136, 111, 86
GT (GT4), 42/52/95, 206, 183, 160, 135, 111, 87
GT (GT5), 42/52/98, 202, 179, 156, 131, 107, 83
GT (GT6), 12/22/33, –, 93, 76, 64, 53, 42
GU (GU1), 13/23/35/43/53, 203, 179, 155, 130, 106, 82
GU (GU2), 43/53/85, 193, 174, 155, 129, 103, 78
GU (GU3), 43/53/88, 191, 171, 151, 125, 100, 75
GU (GU4), 43/53/96, 201, 176, 151, 127, 104, 81
GU (GU5), 43/53/99, 198, 173, 148, 124, 101, 78
GU (GU6), 13/23/35, –, 93, 76, 64, 52, 41
HY (HY1), 12/22/34/42/52, 205, 183, 161, 137, 113, 89
HY (HY2), 12/22/34, –, 93, 77, 66, 55, 44
HZ (HZ1), 13/23/36/43/53, 201, 177, 153, 129, 105, 81
HZ (HZ2), 13/23/36, –, 91, 74, 62, 51, 40
IY (IY1), 12/22/34/42/52, 205, 183, 161, 137, 113, 89
IY (IY2), 42/52/85, 196, 178, 160, 134, 108, 82
IY (IY3), 42/52/88, 194, 175, 156, 130, 104, 79
IY (IY4), 42/52/95, 206, 183, 160, 135, 111, 87
IY (IY5), 42/52/98, 202, 179, 156, 131, 107, 83
IY (IY6), 12/22/34, –, 93, 77, 66, 55, 44
IZ (IZ1), 13/23/36/43/53, 201, 177, 153, 129, 105, 81
IZ (IZ2), 43/53/86, 194, 174, 154, 128, 102, 76
IZ (IZ4), 43/53/96, 201, 176, 151, 127, 104, 81
IZ (IZ5), 43/53/99, 198, 173, 148, 124, 101, 78
IZ (IZ6), 13/23/36, –, 91, 74, 62, 51, 40
KT (KT1), 12/22/34/42/52, 205, 183, 161, 137, 113, 89
KT (KT2), 42/52/84, 195, 178, 161, 135, 109, 84
KT (KT3), 42/52/87, 196, 179, 162, 136, 111, 86
KT (KT4), 42/52/95, 206, 183, 160, 135, 111, 87
KT (KT5), 42/52/98, 202, 179, 156, 131, 107, 83
KT (KT6), 12/22/34, –, 93, 77, 66, 55, 44
KU (KU1), 13/23/36/43/53, 201, 177, 153, 129, 105, 81
KU (KU2), 43/53/85, 193, 174, 155, 129, 103, 78
KU (KU3), 43/53/88, 191, 171, 151, 125, 100, 75
KU (KU4), 43/53/96, 201, 176, 151, 127, 104, 81
KU (KU5), 43/53/99, 198, 173, 148, 124, 101, 78
KU (KU6), 13/23/36, –, 91, 74, 62, 51, 40
S1, 11/21/31, –, 93, 76, 64, 52, 41
S3, 12/22/33, –, 93, 76, 64, 53, 42
S4, 12/22/34, –, 93, 77, 66, 55, 44
S5, 13/23/35, –, 93, 76, 64, 52, 41
S6, 13/23/36, –, 91, 74, 62, 51, 40
