Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 260, 11, 21, 31, 41, 51, 176, 150, 124, 99, 75, 51
AY, 260, 12, 22, 33, 42, 52, 184, 153, 122, 98, 75, 52
AZ, 260, 13, 23, 35, 43, 53, 175, 149, 123, 99, 75, 51
BX1, 260, 41, 51, 84, 190, 163, 136, 108, 80, 52
BX2, 260, 41, 51, 87, 190, 163, 136, 108, 80, 52
BXJ, 130, 41, 51, 90, 75, 60, 44, 28, 13
BY1, 260, 42, 52, 85, 190, 161, 132, 107, 82, 57
BY2, 260, 42, 52, 88, 190, 161, 132, 107, 82, 57
BYJ, 130, 42, 52, 96, 78, 60, 44, 28, 13
BZ1, 260, 43, 53, 86, 183, 157, 131, 105, 80, 55
CP1, 260, 43, 53, 94, 171, 147, 123, 100, 78, 56
CQ1, 260, 41, 51, 95, 174, 150, 126, 102, 78, 54
CQ2, 260, 41, 51, 98, 173, 149, 125, 101, 77, 54
CQN, 130, 41, 51, 90, 75, 60, 44, 28, 13
CR1, 260, 42, 52, 96, 177, 150, 123, 101, 79, 57
CR2, 260, 42, 52, 99, 176, 149, 122, 100, 78, 56
CRN, 130, 42, 52, 96, 78, 60, 44, 28, 13
CX1, 260, 41, 51, 94, 171, 147, 123, 100, 78, 56
CY1, 260, 42, 52, 95, 180, 153, 126, 102, 78, 55
CY2, 260, 42, 52, 98, 179, 152, 125, 101, 78, 55
CYN, 130, 42, 52, 96, 78, 60, 44, 28, 13
CZ1, 260, 43, 53, 96, 171, 147, 123, 100, 78, 56
CZ2, 260, 43, 53, 99, 170, 146, 122, 99, 77, 55
HX1, 260, 11, 21, 32, 41, 51, 176, 150, 124, 99, 75, 51
HY1, 260, 12, 22, 34, 42, 52, 186, 154, 122, 98, 75, 52
P1, 75, 50, –, 54, 44, 34, 24, 15
P2, 150, 50, 60, 129, 109, 88, 68, 49, 30
P3, 150, 60, 80, 132, 115, 97, 79, 62, 45
S1, 130, 11, 21, 31, –, 72, 58, 46, 34, 23
S2, 130, 11, 21, 32, –, 72, 58, 46, 34, 23
S3, 130, 12, 22, 33, –, 72, 56, 45, 34, 23
S4, 130, 12, 22, 34, –, 73, 56, 45, 34, 23
S5, 130, 13, 23, 35, –, 71, 57, 45, 34, 23
