Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 199, 177, 155, 130, 106, 82
AY, 12/22/33/42/52, 194, 173, 152, 128, 105, 82
AZ, 13/23/35/43/53, 199, 177, 155, 130, 106, 82
BT1, 42/52/84, 195, 177, 159, 134, 109, 84
BT2, 42/52/87, 195, 177, 159, 134, 109, 85
BU1, 43/53/85, 201, 181, 161, 135, 110, 85
BU2, 43/53/88, 202, 182, 162, 136, 111, 86
BY1, 42/52/85, 202, 181, 160, 135, 111, 87
BY2, 42/52/88, 203, 182, 161, 136, 112, 88
BZ1, 43/53/86, 194, 177, 160, 134, 109, 84
CY1, 42/52/95, 197, 176, 155, 131, 107, 84
CY2, 42/52/98, 196, 175, 154, 130, 106, 83
CZ1, 43/53/96, 192, 173, 154, 131, 108, 85
CZ2, 43/53/99, 190, 172, 154, 131, 108, 86
EV, 42/52/75, 194, 175, 156, 132, 108, 85
HY, 12/22/34/42/52, 194, 173, 152, 129, 106, 83
HZ, 13/23/36/43/53, 199, 177, 155, 130, 106, 82
S1, 11/21/31, –, 89, 73, 62, 52, 42
S3, 12/22/33, –, 85, 71, 60, 50, 40
S4, 12/22/34, –, 85, 71, 61, 51, 41
S5, 13/23/35, –, 89, 73, 62, 52, 42
S6, 13/23/36, –, 89, 73, 62, 52, 42
