Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 197, 177, 157, 133, 109, 85
AY, 12/22/33/42/52, 212, 187, 162, 139, 116, 93
BX1, 41/51/84, 202, 181, 160, 134, 108, 82
BX2, 41/51/87, 201, 180, 159, 132, 106, 80
BY1, 42/52/85, 211, 188, 165, 140, 115, 91
BY2, 42/52/88, 211, 187, 163, 138, 114, 90
BZ1, 43/53/86, 204, 182, 160, 134, 108, 83
CP1, 43/53/94, 195, 173, 151, 130, 109, 88
CQ1, 41/51/95, 199, 176, 153, 130, 107, 85
CQ2, 41/51/98, 198, 175, 152, 129, 106, 84
CR1, 42/52/96, 203, 179, 155, 134, 113, 93
CR2, 42/52/99, 201, 178, 155, 134, 114, 94
CX1, 41/51/94, 195, 173, 151, 130, 109, 88
CY1, 42/52/95, 207, 182, 157, 134, 112, 90
CY2, 42/52/98, 206, 181, 156, 133, 111, 89
WB1, 42/52/83, 207, 183, 159, 134, 109, 85
WB2, 42/52/89, 207, 184, 161, 136, 111, 86
HX, 11/21/32/41/51, 197, 177, 157, 133, 109, 86
HY, 12/22/34/42/52, 213, 188, 163, 140, 117, 94
S1, 11/21/31, –, 89, 78, 66, 54, 42
S2, 11/21/32, –, 89, 78, 66, 54, 43
S3, 12/22/33, –, 93, 79, 67, 56, 45
S4, 12/22/34, –, 94, 80, 68, 57, 46
S5, 13/23/35, –, 89, 78, 66, 55, 44
