Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 25, 21, 17, 13
Component 12, 40, 27, 24, 21, 16, 12
Component 13, 40, 27, 24, 20, 16, 12
Component 21, 60, 42, 37, 32, 26, 21
Component 22, 60, 46, 38, 33, 28, 22
Component 23, 60, 42, 37, 32, 27, 21
Component 31, 40, 25, 21, 17, 14, 11
Component 32, 40, 25, 21, 18, 15, 12
Component 33, 40, 26, 22, 19, 16, 14
Component 34, 40, 28, 24, 21, 18, 16
Component 35, 40, 26, 22, 19, 16, 14
Component 41, 100, 67, 61, 52, 43, 34
Component 42, 100, 71, 63, 54, 45, 35
Component 43, 100, 67, 61, 52, 43, 34
Component 51, 30, 21, 18, 15, 12, 9
Component 52, 30, 23, 20, 18, 15, 13
Component 53, 30, 21, 18, 15, 12, 9
