Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 29, 23, 19, 16, 13
Component 12, 40, 30, 25, 21, 18, 15
Component 13, 40, 29, 23, 19, 16, 13
Component 21, 60, 39, 31, 26, 21, 16
Component 22, 60, 37, 29, 25, 21, 17
Component 23, 60, 39, 31, 26, 21, 16
Component 31, 40, 28, 24, 21, 18, 15
Component 33, 40, 29, 26, 22, 18, 15
Component 34, 40, 30, 26, 22, 18, 15
Component 35, 40, 28, 24, 21, 18, 15
Component 36, 40, 26, 21, 17, 14, 11
Component 41, 100, 71, 64, 54, 44, 34
Component 42, 100, 71, 64, 54, 44, 34
Component 43, 100, 71, 64, 54, 44, 34
Component 51, 30, 19, 17, 14, 11, 9
Component 52, 30, 19, 17, 14, 11, 9
Component 53, 30, 20, 18, 15, 12, 10
