Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AW, 12/21/33/42/52, 201, 177, 153, 128, 103, 78
AX, 11/21/31/41/51, 204, 181, 158, 131, 105, 79
AY, 12/22/33/42/52, 205, 181, 157, 132, 107, 83
AZ, 13/23/35/43/53, 206, 182, 158, 132, 106, 80
BX1, 41/51/84, 198, 176, 154, 129, 104, 79
BX2, 41/51/87, 199, 177, 155, 130, 105, 81
BY1, 42/52/85, 199, 175, 151, 126, 101, 77
BY2, 42/52/88, 197, 172, 147, 122, 98, 74
BZ1, 43/53/86, 200, 176, 152, 126, 100, 75
CP1, 43/53/94, 209, 181, 153, 129, 105, 81
CQ1, 41/51/95, 209, 181, 153, 129, 105, 82
CQ2, 41/51/98, 208, 181, 154, 130, 107, 84
CR1, 42/52/96, 209, 180, 151, 127, 104, 81
CR2, 42/52/99, 207, 178, 149, 126, 103, 80
CX1, 41/51/94, 209, 181, 153, 129, 105, 81
CY1, 42/52/95, 209, 180, 151, 128, 105, 82
CY2, 42/52/98, 208, 180, 152, 129, 106, 84
CZ2, 43/53/99, 207, 179, 151, 127, 103, 80
HW, 12/21/34/42/52, 201, 176, 151, 126, 101, 77
HX, 11/21/32/41/51, 203, 180, 157, 130, 103, 77
HY, 12/22/34/42/52, 205, 180, 155, 130, 106, 82
3W, 12/21/33, –, 90, 78, 64, 51, 38
4W, 12/21/34, –, 89, 76, 63, 50, 37
S1, 11/21/31, –, 93, 81, 67, 53, 39
S2, 11/21/32, –, 92, 80, 65, 51, 37
S3, 12/22/33, –, 94, 82, 69, 56, 43
S4, 12/22/34, –, 93, 80, 67, 54, 42
S5, 13/23/35, –, 94, 81, 67, 53, 40
