Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 260, 11, 21, 31, 41,
51, 179, 156, 133, 109, 85, 62
AY, 260, 12, 22, 33, 42,
52, 177, 153, 129, 104, 80, 56
AZ, 260, 13, 23, 35, 43,
53, 179, 156, 133, 109, 85, 62
BS1, 260, 41, 51, 86, 172, 150, 128, 102, 77, 52
BT1, 260, 42, 52, 84, 174, 150, 126, 101, 76, 51
BT2, 260, 42, 52, 87, 174, 150, 126, 101, 76, 51
BTJ, 130, 42, 52, 88, 75, 62, 45, 29, 13
BU1, 260, 43, 53, 85, 175, 151, 127, 102, 77, 52
BU2, 260, 43, 53, 88, 177, 152, 127, 102, 77, 52
BX1, 260, 41, 51, 84, 173, 151, 129, 103, 77, 52
BY1, 260, 42, 52, 85, 176, 150, 124, 99, 75, 51
BY2, 260, 42, 52, 88, 178, 151, 124, 99, 75, 51
BZ1, 260, 43, 53, 86, 172, 150, 128, 102, 77, 52
CY1, 260, 42, 52, 95, 172, 150, 128, 103, 78, 54
CY2, 260, 42, 52, 98, 171, 149, 127, 102, 78, 54
CYN, 130, 42, 52, 88, 75, 62, 45, 29, 13
CZ1, 260, 43, 53, 96, 168, 148, 128, 104, 80, 57
CZ2, 260, 43, 53, 99, 167, 147, 127, 103, 79, 56
CZN, 130, 43, 53, 87, 76, 65, 48, 31, 14
EV, 260, 42, 52, 75, 177, 156, 135, 110, 85, 61
HY, 260, 12, 22, 34, 42,
52, 176, 152, 128, 103, 79, 55
HZ, 260, 13, 23, 36, 43,
53, 179, 156, 133, 109, 85, 61
P1, 75, 50, –, 54, 44, 34, 24, 15
S1, 130, 11, 21, 31, –, 77, 62, 52, 42, 33
S3, 130, 12, 22, 33, –, 75, 61, 50, 39, 28
S4, 130, 12, 22, 34, –, 74, 60, 49, 38, 27
S5, 130, 13, 23, 35, –, 77, 62, 52, 42, 33
S6, 130, 13, 23, 36, –, 77, 62, 52, 42, 32
