Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 29, 26, 21, 17, 13
Component 12, 40, 29, 26, 21, 17, 13
Component 13, 40, 28, 25, 20, 16, 12
Component 21, 60, 42, 36, 30, 24, 18
Component 22, 60, 41, 33, 27, 21, 14
Component 23, 60, 42, 34, 27, 21, 15
Component 31, 40, 25, 21, 17, 13, 10
Component 32, 40, 27, 23, 19, 16, 13
Component 33, 40, 27, 24, 20, 16, 13
Component 34, 40, 23, 19, 15, 12, 9
Component 35, 40, 26, 22, 18, 14, 11
Component 41, 100, 61, 53, 45, 36, 27
Component 42, 100, 60, 52, 43, 35, 26
Component 43, 100, 61, 53, 45, 36, 27
Component 51, 30, 21, 17, 14, 12, 10
Component 52, 30, 24, 19, 17, 15, 13
Component 53, 30, 21, 17, 14, 12, 10
