Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 174, 152, 130, 107, 84, 62
AY, 12/22/33/42/52, 166, 144, 122, 99, 76, 54
AZ, 13/23/35/43/53, 174, 152, 130, 107, 84, 62
BS1, 41/51/86, 186, 162, 138, 112, 86, 61
BT1, 42/52/84, 182, 157, 132, 105, 78, 52
BT2, 42/52/87, 182, 157, 132, 105, 78, 52
BTJ, 42/52, 83, 70, 57, 43, 29, 15
BU1, 43/53/85, 187, 163, 139, 113, 87, 62
BU2, 43/53/88, 187, 163, 139, 113, 87, 62
BUJ, 43/53, 93, 80, 67, 51, 35, 19
BY1, 42/52/85, 176, 152, 128, 104, 80, 56
BY2, 42/52/88, 176, 152, 128, 104, 80, 56
BYJ, 42/52, 83, 70, 57, 43, 29, 15
BZ1, 43/53/86, 186, 162, 138, 112, 86, 61
CY1, 42/52/95, 168, 145, 122, 100, 78, 57
CY2, 42/52/98, 168, 145, 122, 100, 78, 57
CZ1, 43/53/96, 181, 158, 135, 112, 89, 66
CZ2, 43/53/99, 181, 158, 135, 112, 89, 66
EV, 42/52/75, 174, 152, 130, 107, 84, 61
HY, 12/22/34/42/52, 165, 143, 121, 98, 76, 54
HZ, 13/23/36/43/53, 173, 151, 129, 106, 83, 61
S1, 11/21/31, –, 69, 57, 47, 37, 28
S3, 12/22/33, –, 72, 60, 48, 37, 26
S4, 12/22/34, –, 71, 59, 48, 37, 26
S5, 13/23/35, –, 69, 57, 47, 37, 28
S6, 13/23/36, –, 68, 56, 46, 36, 27
