Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 187, 163, 139, 115, 91, 67
AY, 12/22/33/42/52, 175, 152, 129, 106, 83, 61
AZ, 13/23/35/43/53, 187, 163, 139, 115, 91, 67
BT1, 42/52/84, 189, 168, 147, 122, 98, 74
BT2, 42/52/87, 189, 168, 147, 123, 99, 75
BTJ, 42/52, 89, 76, 63, 48, 33, 18
BU1, 43/53/85, 206, 181, 156, 130, 105, 80
BU2, 43/53/88, 207, 182, 157, 131, 106, 81
BUJ, 43/53, 99, 85, 71, 53, 36, 19
BX1, 41/51/84, 199, 177, 155, 129, 103, 77
BY1, 42/52/85, 196, 172, 148, 124, 100, 77
BY2, 42/52/88, 197, 173, 149, 125, 101, 78
BYJ, 42/52, 89, 76, 63, 48, 33, 18
BZJ, 43/53, 99, 85, 71, 53, 36, 19
CY1, 42/52/95, 188, 164, 140, 117, 94, 72
CY2, 42/52/98, 188, 164, 140, 117, 95, 73
CZ1, 43/53/96, 204, 177, 150, 125, 101, 77
CZ2, 43/53/99, 204, 177, 150, 125, 101, 77
EV, 42/52/75, 189, 171, 153, 129, 105, 81
HY, 12/22/34/42/52, 175, 152, 129, 106, 83, 61
HZ, 13/23/36/43/53, 187, 163, 139, 115, 91, 67
S1, 11/21/31, –, 75, 62, 52, 42, 32
S3, 12/22/33, –, 73, 60, 49, 39, 29
S4, 12/22/34, –, 73, 60, 49, 39, 29
S5, 13/23/35, –, 75, 62, 52, 42, 32
S6, 13/23/36, –, 75, 62, 52, 42, 32
