Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 27, 23, 20, 17
Component 12, 40, 27, 21, 18, 16, 14
Component 13, 40, 33, 28, 25, 22, 20
Component 21, 60, 40, 33, 28, 22, 16
Component 22, 60, 42, 35, 29, 24, 19
Component 23, 60, 42, 36, 30, 25, 19
Component 31, 40, 33, 31, 27, 24, 21
Component 33, 40, 31, 29, 26, 23, 20
Component 34, 40, 34, 32, 29, 26, 23
Component 35, 40, 31, 28, 25, 23, 21
Component 36, 40, 32, 29, 27, 25, 23
Component 41, 100, 62, 53, 42, 32, 20
Component 42, 100, 57, 45, 35, 26, 16
Component 43, 100, 62, 53, 42, 32, 20
Component 51, 30, 23, 21, 18, 15, 13
Component 52, 30, 23, 21, 18, 15, 13
Component 53, 30, 23, 21, 18, 15, 13
