Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 190, 166, 142, 116, 90, 65
AY, 12/22/33/42/52, 196, 170, 144, 119, 94, 70
AZ, 13/23/35/43/53, 202, 174, 146, 118, 91, 64
BXJ, 41/51, 90, 75, 60, 44, 28, 13
BYJ, 42/52, 89, 75, 61, 48, 35, 22
BZJ, 43/53, 90, 75, 60, 44, 28, 13
CQ1, 41/51/95, 186, 162, 138, 113, 89, 65
CQ2, 41/51/98, 185, 161, 137, 112, 88, 64
CR1, 42/52/96, 196, 170, 144, 120, 96, 73
CR2, 42/52/99, 193, 167, 141, 117, 93, 69
CX1, 41/51/94, 187, 164, 141, 116, 91, 67
CY1, 42/52/95, 184, 161, 138, 116, 95, 74
CY2, 42/52/98, 183, 160, 137, 115, 94, 73
CZ1, 43/53/96, 198, 171, 144, 117, 90, 64
CZ2, 43/53/99, 195, 168, 141, 114, 87, 60
HX, 11/21/32/41/51, 189, 165, 141, 115, 90, 65
HY, 12/22/34/42/52, 191, 166, 141, 116, 91, 66
S1, 11/21/31, –, 87, 76, 64, 53, 42
S2, 11/21/32, –, 86, 75, 64, 53, 42
S3, 12/22/33, –, 92, 78, 64, 51, 38
S4, 12/22/34, –, 88, 75, 61, 47, 34
S5, 13/23/35, –, 95, 80, 67, 54, 41
