Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 29, 25, 22, 19, 17
Component 12, 40, 30, 27, 23, 19, 16
Component 13, 40, 30, 28, 24, 20, 16
Component 21, 60, 37, 31, 25, 20, 14
Component 22, 60, 39, 34, 27, 22, 15
Component 23, 60, 37, 31, 25, 19, 14
Component 31, 40, 31, 29, 26, 24, 22
Component 32, 40, 29, 27, 24, 22, 20
Component 33, 40, 30, 28, 25, 23, 21
Component 34, 40, 30, 28, 25, 23, 21
Component 35, 40, 30, 28, 25, 22, 20
Component 41, 100, 55, 42, 33, 25, 16
Component 42, 100, 48, 37, 30, 23, 15
Component 43, 100, 55, 42, 33, 25, 16
Component 51, 30, 22, 19, 16, 13, 11
Component 52, 30, 21, 18, 15, 12, 10
Component 53, 30, 22, 19, 16, 13, 11
