Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 25, 21, 17, 14, 11
Component 12, 40, 24, 21, 18, 15, 12
Component 13, 40, 25, 21, 18, 15, 12
Component 21, 60, 41, 34, 27, 19, 12
Component 22, 60, 42, 33, 25, 17, 8
Component 23, 60, 40, 32, 25, 17, 9
Component 31, 40, 30, 27, 24, 21, 19
Component 32, 40, 30, 27, 24, 21, 19
Component 33, 40, 29, 26, 22, 19, 16
Component 34, 40, 29, 26, 23, 20, 17
Component 35, 40, 30, 27, 23, 20, 17
Component 41, 100, 59, 51, 41, 31, 20
Component 42, 100, 54, 46, 35, 24, 13
Component 43, 100, 59, 51, 41, 31, 20
Component 50, 75, 55, 47, 38, 29, 20
Component 51, 30, 19, 17, 14, 11, 8
Component 52, 30, 20, 17, 14, 11, 8
Component 53, 30, 19, 17, 14, 11, 8
Component 60, 75, 54, 45, 36, 27, 18
