Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 199, 176, 153, 129, 105, 82
AY, 12/22/33/42/52, 203, 179, 155, 132, 109, 87
AZ, 13/23/35/43/53, 207, 182, 157, 132, 108, 84
BT1, 42/52/84, 207, 183, 159, 135, 111, 88
BT2, 42/52/87, 206, 182, 158, 134, 110, 86
BU1, 43/53/85, 204, 183, 162, 136, 111, 86
BU2, 43/53/88, 206, 184, 162, 137, 112, 87
BY1, 42/52/85, 205, 183, 161, 136, 112, 88
BY2, 42/52/88, 207, 184, 161, 137, 113, 89
BZ1, 43/53/86, 202, 180, 158, 132, 107, 82
CY1, 42/52/95, 202, 177, 152, 129, 106, 84
CY2, 42/52/98, 206, 180, 154, 131, 108, 86
CZ1, 43/53/96, 206, 183, 160, 136, 112, 89
CZ2, 43/53/99, 207, 184, 161, 137, 113, 90
EV, 42/52/75, 199, 179, 159, 135, 111, 88
HY, 12/22/34/42/52, 199, 176, 153, 130, 107, 84
HZ, 13/23/36/43/53, 205, 180, 155, 131, 107, 83
S1, 11/21/31, –, 89, 77, 67, 57, 48
S3, 12/22/33, –, 92, 80, 70, 60, 51
S4, 12/22/34, –, 89, 78, 68, 58, 48
S5, 13/23/35, –, 95, 81, 70, 60, 50
S6, 13/23/36, –, 93, 79, 69, 59, 49
