Combined Component Code, Paper Combinations, A*, A, B, C, D, E
1W1, 43/53/89, 194, 174, 154, 129, 104, 79
1W2, 43/53/79, 194, 174, 154, 129, 104, 80
AX, 11/21/31/41/51, 197, 176, 155, 130, 106, 82
AY, 12/22/33/42/52, 194, 168, 142, 120, 98, 77
AZ, 13/23/35/43/53, 201, 179, 157, 134, 111, 88
BT1, 42/52/84, 196, 171, 146, 123, 101, 79
BT2, 42/52/87, 197, 172, 147, 125, 103, 81
BU1, 43/53/85, 199, 178, 157, 130, 104, 78
BU2, 43/53/88, 199, 178, 157, 131, 105, 79
BX1, 41/51/84, 198, 176, 154, 130, 106, 83
BX2, 41/51/87, 199, 177, 155, 131, 108, 85
BY1, 42/52/85, 197, 173, 149, 124, 99, 74
BY2, 42/52/88, 197, 173, 149, 124, 99, 75
BZ1, 43/53/86, 198, 177, 156, 130, 105, 80
CX1, 41/51/94, 196, 176, 156, 132, 108, 84
CY1, 42/52/95, 192, 166, 140, 118, 96, 75
CY2, 42/52/98, 193, 167, 141, 119, 97, 75
CZ1, 43/53/96, 202, 180, 158, 134, 110, 87
CZ2, 43/53/99, 202, 179, 156, 133, 110, 87
EV, 42/52/75, 188, 168, 148, 125, 103, 81
HY, 12/22/34/42/52, 198, 171, 144, 122, 100, 79
HZ, 13/23/36/43/53, 202, 180, 158, 135, 112, 89
S1, 11/21/31, –, 93, 82, 71, 60, 49
S3, 12/22/33, –, 90, 77, 67, 57, 48
S4, 12/22/34, –, 93, 79, 69, 59, 50
S5, 13/23/35, –, 96, 84, 74, 64, 55
S6, 13/23/36, –, 97, 85, 75, 65, 56
