Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 25, 22, 19, 17
Component 12, 40, 29, 24, 20, 17, 13
Component 13, 40, 29, 25, 22, 19, 17
Component 21, 60, 41, 35, 29, 22, 15
Component 22, 60, 44, 38, 31, 24, 16
Component 23, 60, 41, 35, 28, 21, 15
Component 31, 40, 30, 27, 24, 22, 20
Component 32, 40, 32, 30, 27, 25, 23
Component 33, 40, 32, 29, 26, 23, 20
Component 34, 40, 31, 29, 26, 23, 21
Component 35, 40, 30, 28, 25, 22, 19
Component 41, 100, 62, 50, 40, 30, 19
Component 42, 100, 63, 51, 41, 31, 20
Component 43, 100, 62, 50, 40, 30, 19
Component 50, 75, 60, 51, 43, 35, 27
Component 51, 30, 23, 19, 16, 12, 9
Component 52, 30, 20, 16, 13, 10, 7
Component 53, 30, 23, 19, 16, 12, 9
Component 60, 75, 56, 49, 41, 33, 26
