Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 27, 24, 21, 18, 15
Component 12, 40, 28, 24, 20, 16, 12
Component 13, 40, 30, 25, 21, 17, 14
Component 21, 60, 37, 31, 25, 18, 12
Component 22, 60, 39, 31, 24, 16, 9
Component 23, 60, 40, 32, 25, 18, 10
Component 31, 40, 30, 28, 25, 22, 20
Component 32, 40, 29, 27, 24, 22, 20
Component 33, 40, 33, 31, 28, 25, 22
Component 34, 40, 28, 26, 23, 20, 17
Component 35, 40, 33, 31, 28, 25, 22
Component 41, 100, 58, 48, 37, 26, 14
Component 42, 100, 55, 45, 37, 28, 19
Component 43, 100, 58, 48, 37, 26, 14
Component 51, 30, 21, 18, 15, 12, 9
Component 52, 30, 23, 21, 18, 16, 13
Component 53, 30, 21, 18, 15, 12, 9
