Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 24, 21, 18, 16, 13
Component 12, 40, 24, 21, 18, 15, 13
Component 13, 40, 26, 22, 19, 16, 13
Component 21, 60, 37, 31, 26, 20, 14
Component 22, 60, 36, 30, 25, 20, 14
Component 23, 60, 41, 34, 26, 19, 11
Component 31, 40, 32, 30, 27, 24, 22
Component 33, 40, 30, 28, 25, 22, 20
Component 34, 40, 29, 27, 24, 21, 19
Component 35, 40, 33, 29, 26, 24, 22
Component 36, 40, 29, 25, 22, 19, 17
Component 41, 100, 59, 52, 41, 30, 19
Component 42, 100, 63, 55, 44, 33, 22
Component 43, 100, 59, 52, 41, 30, 19
Component 51, 30, 22, 20, 17, 14, 11
Component 52, 30, 23, 20, 17, 14, 11
Component 53, 30, 22, 20, 17, 14, 11
