Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 25, 21, 18, 14, 11
Component 12, 40, 25, 21, 18, 14, 11
Component 13, 40, 26, 22, 18, 16, 12
Component 21, 60, 34, 27, 21, 15, 8
Component 22, 60, 34, 27, 21, 15, 8
Component 23, 60, 38, 31, 24, 16, 8
Component 31, 40, 33, 30, 27, 24, 21
Component 33, 40, 32, 29, 26, 23, 20
Component 34, 40, 29, 26, 23, 20, 17
Component 35, 40, 30, 27, 24, 22, 20
Component 36, 40, 28, 25, 22, 19, 17
Component 41, 100, 54, 43, 33, 22, 11
Component 42, 100, 55, 45, 35, 24, 13
Component 43, 100, 54, 43, 33, 22, 11
Component 51, 30, 19, 17, 14, 11, 8
Component 52, 30, 18, 16, 13, 10, 7
Component 53, 30, 19, 17, 14, 11, 8
