Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 202, 177, 152, 128, 105, 82
AY, 12/22/33/42/52, 203, 178, 153, 127, 102, 77
AZ, 13/23/35/43/53, 202, 178, 154, 129, 104, 79
BX1, 41/51/84, 201, 178, 155, 131, 108, 85
BX2, 41/51/87, 201, 177, 153, 129, 106, 83
BY1, 42/52/85, 193, 170, 147, 123, 99, 76
BY2, 42/52/88, 194, 171, 148, 124, 100, 77
BZ1, 43/53/86, 191, 169, 147, 122, 98, 74
CP1, 43/53/94, 200, 177, 154, 130, 106, 83
CQ1, 41/51/95, 198, 172, 146, 123, 100, 78
CQ2, 41/51/98, 199, 173, 147, 124, 101, 78
CR1, 42/52/96, 206, 180, 154, 131, 108, 86
CR2, 42/52/99, 206, 179, 152, 130, 108, 86
CX1, 41/51/94, 200, 177, 154, 130, 106, 83
CY1, 42/52/95, 198, 171, 144, 122, 100, 78
CY2, 42/52/98, 199, 172, 145, 122, 100, 78
CZ1, 43/53/96, 206, 181, 156, 132, 109, 86
HX, 11/21/32/41/51, 203, 178, 153, 130, 107, 84
HY, 12/22/34/42/52, 203, 178, 153, 128, 103, 78
W11, 42/51/85, 189, 167, 145, 121, 97, 74
WA, 12/21/33/42/51, 194, 171, 148, 124, 100, 76
WH, 12/21/34/42/51, 194, 171, 148, 124, 100, 77
3W, 12/21/33, –, 91, 81, 69, 57, 46
4W, 12/21/34, –, 91, 81, 69, 58, 47
S1, 11/21/31, –, 93, 81, 70, 60, 50
S2, 11/21/32, –, 94, 82, 72, 62, 52
S3, 12/22/33, –, 95, 84, 71, 58, 45
S4, 12/22/34, –, 95, 84, 71, 58, 46
S5, 13/23/35, –, 94, 83, 71, 59, 47
