Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 191, 171, 151, 128, 105, 83
AY, 12/22/33/42/52, 182, 160, 138, 117, 96, 75
AZ, 13/23/35/43/53, 197, 175, 153, 130, 108, 86
BT1, 42/52/84, 185, 166, 147, 125, 103, 82
BT2, 42/52/87, 185, 165, 145, 123, 101, 80
BU1, 43/53/85, 184, 165, 146, 122, 99, 76
BU2, 43/53/88, 185, 166, 147, 123, 100, 77
BX1, 41/51/84, 192, 172, 152, 129, 107, 85
BY1, 42/52/85, 177, 159, 141, 118, 95, 73
BY2, 42/52/88, 178, 160, 142, 119, 96, 74
BZ1, 43/53/86, 182, 163, 144, 120, 97, 74
CX1, 41/51/94, 195, 171, 147, 124, 102, 80
CY1, 42/52/95, 187, 164, 141, 119, 97, 76
CY2, 42/52/98, 187, 165, 143, 121, 100, 79
CZ1, 43/53/96, 196, 172, 148, 126, 104, 83
CZ2, 43/53/99, 196, 171, 146, 124, 103, 82
EV, 42/52/75, 180, 164, 148, 125, 102, 80
HY, 12/22/34/42/52, 183, 161, 139, 117, 96, 75
HZ, 13/23/36/43/53, 197, 174, 151, 129, 107, 86
S1, 11/21/31, –, 93, 83, 72, 61, 51
S3, 12/22/33, –, 88, 75, 65, 55, 46
S4, 12/22/34, –, 89, 76, 66, 56, 46
S5, 13/23/35, –, 97, 85, 74, 64, 54
S6, 13/23/36, –, 96, 83, 73, 63, 54
